Plant Location,Plant Capacity (m³/day),Project Award Year,Raw Water Salinity (mg/L),Plant Type,Project Financing Type,Capital Cost (USD)
Saudi Arabia,665,1980,22501,Brackish water,PPP,9439000.0
South Africa,80092,2009,17331,Sea water,Private,16966000.0
India,2019,2024,26104,Sea water,PPP,11443821.0
Saudi Arabia,1563,2011,15616,Waste water,Public,11036000.0
USA,22529,2007,28560,Brackish water,Public,2065176.0
USA,92943,2000,11261,Waste water,Public,19343000.0
USA,32346,1992,22173,Sea water,Public,15611000.0
Brazil,14241,2006,22377,Brackish water,Private,13050000.0
India,14687,2015,16022,Sea water,Private,9978000.0
India,19023,1986,22121,Brackish water,Public,8338000.0
USA,17308,2001,26397,Waste water,Public,15489000.0
South Africa,10734,1989,8915,Waste water,Public,6485000.0
Brazil,8992,2018,22513,Brackish water,Public,14419344.0
Germany,7611,1994,7533,Brackish water,Public,12833923.0
USA,3812,1994,15171,Waste water,Public,11011000.0
USA,6120,1983,28145,Brackish water,Public,14719000.0
Germany,1490,2011,17091,Sea water,Public,14616000.0
Saudi Arabia,7344,2002,14130,Brackish water,Public,13356000.0
Saudi Arabia,3015,1985,19010,Sea water,Public,8843000.0
Germany,2687,2003,30339,Brackish water,Private,20035000.0
India,9700,1999,10841,Brackish water,Public,8268000.0
USA,32597,2016,14743,Brackish water,PPP,22581000.0
Germany,20298,1999,27487,Sea water,Public,16085000.0
Saudi Arabia,1684,1991,29288,Sea water,Public,11144000.0
Saudi Arabia,3012,2012,19482,Brackish water,Public,15926000.0
India,20759,2007,13804,Waste water,Public,7814000.0
USA,3033,1987,30479,Brackish water,PPP,15143000.0
Saudi Arabia,6472,1980,27972,Sea water,Public,9258000.0
Saudi Arabia,14045,2016,23394,Waste water,PPP,13444000.0
USA,3076,2001,15937,Waste water,PPP,11641000.0
India,9003,1985,19754,Sea water,Private,6534000.0
USA,2134,2000,19198,Sea water,Private,14756000.0
USA,4440,2011,21654,Waste water,Private,16156000.0
South Africa,11156,2014,27255,Waste water,Public,11898000.0
South Africa,1647,1994,24397,Waste water,Private,8665000.0
Brazil,12587,1984,14613,Waste water,Public,5893000.0
Germany,7945,1985,26882,Brackish water,Public,14195000.0
USA,14079,2004,21565,Brackish water,Public,19893000.0
India,10136,2019,23435,Sea water,Private,11179000.0
Saudi Arabia,31702,2008,27332,Sea water,PPP,15699000.0
USA,9184,1986,14442,Brackish water,Public,13221000.0
Saudi Arabia,5274,2019,19820,Brackish water,PPP,16715000.0
USA,9157,1992,17342,Brackish water,Public,15250000.0
South Africa,13950,2017,12160,Waste water,Public,10285000.0
Germany,8508,1997,21733,Sea water,Public,13542000.0
India,8438,1981,32557,Brackish water,Public,8072000.0
Germany,4015,1987,10799,Sea water,Public,9523000.0
Saudi Arabia,4175,1990,19838,Brackish water,Private,12429000.0
Saudi Arabia,1992,2012,23202,Waste water,PPP,11828000.0
USA,46610,2017,20615,Brackish water,Public,27945000.0
South Africa,2335,2006,19434,Waste water,Public,9175000.0
India,4052,1999,13503,Sea water,PPP,6511000.0
South Africa,3950,1991,21163,Brackish water,Private,10707000.0
Brazil,19829,2022,16216,Sea water,Public,11977000.0
Saudi Arabia,6033,2010,9050,Brackish water,Public,13585000.0
South Africa,28218,2006,25972,Waste water,PPP,11091000.0
USA,4131,2011,24791,Brackish water,Private,22411000.0
USA,10710,1989,20258,Waste water,Public,11443000.0
USA,3514,1982,21145,Sea water,Public,10804000.0
Germany,69227,2024,25371,Waste water,PPP,23448000.0
Saudi Arabia,2471,2006,21121,Sea water,Public,12538000.0
Germany,11045,2014,24520,Waste water,PPP,15249000.0
Brazil,15272,2010,18512,Sea water,Public,10417000.0
Saudi Arabia,12256,1994,26559,Sea water,Private,12701000.0
Germany,6732,1995,21603,Brackish water,Public,15555000.0
Saudi Arabia,7116,1992,20970,Waste water,Public,9482000.0
USA,8465,2014,13649,Sea water,PPP,15396000.0
Brazil,6995,1990,21434,Sea water,Public,7688000.0
USA,21245,2000,15840,Waste water,Private,14451000.0
South Africa,73904,1990,16808,Sea water,Public,11829000.0
India,4640,2009,15923,Sea water,Public,8195000.0
USA,2059,2014,14668,Brackish water,Public,18874000.0
USA,7418,2001,30623,Sea water,Private,17963000.0
Brazil,106906,2017,26656,Waste water,Public,17421000.0
India,3627,2010,29601,Waste water,Public,8910000.0
India,41735,1993,13885,Brackish water,Public,9739000.0
India,43377,2003,20356,Waste water,Private,9676000.0
USA,4658,2011,13532,Brackish water,Private,19205000.0
Saudi Arabia,14313,2015,16521,Sea water,Public,14279000.0
USA,41290,2011,15409,Sea water,Public,19866000.0
Brazil,5546,1994,26197,Brackish water,PPP,9825000.0
India,6610,2022,18018,Sea water,Public,9974000.0
Germany,4529,2014,25341,Waste water,PPP,14785000.0
USA,2937,1982,23020,Waste water,PPP,9412000.0
Germany,4233,1995,31518,Sea water,Private,15221000.0
Germany,2382,1984,12602,Brackish water,Public,10996000.0
India,8384,2000,26296,Waste water,PPP,7302000.0
India,3751,1989,25732,Waste water,Private,6594000.0
Brazil,10237,1998,15133,Waste water,Private,7739000.0
Saudi Arabia,1709,2004,25035,Brackish water,Public,15365000.0
USA,11281,1983,21680,Waste water,Public,10511000.0
India,18648,2008,18862,Brackish water,Public,11124000.0
India,1103,1998,15880,Brackish water,Private,8673000.0
Saudi Arabia,11778,2022,16404,Sea water,Private,15962000.0
India,27657,1981,30249,Sea water,Public,7293000.0
Saudi Arabia,2417,1989,20003,Brackish water,Public,11495000.0
Saudi Arabia,43155,2022,23910,Sea water,Public,20029000.0
Saudi Arabia,12320,2004,16045,Sea water,Private,12824000.0
USA,4003,1999,16100,Waste water,PPP,11419000.0
USA,7663,1998,25409,Sea water,Public,15357000.0
USA,14162,2002,13252,Brackish water,Public,17319000.0
India,8742,2003,17923,Brackish water,Public,9626000.0
Germany,13887,1990,20170,Waste water,Private,11660000.0
Saudi Arabia,3227,2013,20556,Brackish water,Private,17251000.0
South Africa,9598,2007,19104,Sea water,PPP,10243000.0
Germany,1970,1984,21979,Brackish water,Public,12577000.0
Saudi Arabia,7250,1984,23464,Waste water,PPP,8092000.0
India,3281,2000,23673,Waste water,Public,7212000.0
Germany,3883,1991,15070,Brackish water,Private,13735000.0
USA,27891,1983,18579,Sea water,Public,12465000.0
Germany,24132,2021,25973,Waste water,PPP,18170000.0
USA,14900,1999,24473,Sea water,Private,16958000.0
South Africa,2718,2017,13135,Brackish water,Private,13466000.0
Brazil,5905,2004,21757,Brackish water,PPP,10747000.0
India,27257,1993,10108,Sea water,Public,7061000.0
Brazil,9336,1990,20234,Sea water,Public,7685000.0
Brazil,82399,2011,29488,Sea water,PPP,15837000.0
USA,12007,1990,15260,Brackish water,Public,14623000.0
Brazil,9818,1997,15828,Waste water,Public,7294000.0
Saudi Arabia,5948,2006,23820,Sea water,Public,13307000.0
Brazil,9260,1997,12285,Waste water,Private,7263000.0
Brazil,6957,2002,16836,Sea water,Public,8657000.0
Germany,16450,1990,22982,Brackish water,Public,15553000.0
USA,21093,2000,16828,Sea water,Public,15436000.0
Germany,3692,2023,18820,Waste water,Public,15733000.0
Saudi Arabia,2140,1984,23720,Waste water,PPP,7851000.0
Brazil,1291,2002,22107,Brackish water,PPP,10183000.0
Brazil,13466,2020,21334,Waste water,Private,11382000.0
USA,2688,2004,18304,Brackish water,Public,17627000.0
Saudi Arabia,941,2020,21850,Waste water,PPP,12653000.0
Saudi Arabia,11951,1989,19381,Waste water,Private,9603000.0
Germany,98027,2001,22289,Waste water,Public,20618000.0
USA,8054,1998,17515,Brackish water,PPP,15762000.0
Germany,18741,1980,19087,Sea water,Private,10984000.0
South Africa,8794,1986,15050,Brackish water,Private,9334000.0
Germany,7340,1983,19824,Sea water,Private,10907000.0
Saudi Arabia,20314,1980,15944,Brackish water,Public,10411000.0
India,6061,1994,14429,Brackish water,Public,7875000.0
Saudi Arabia,10587,2019,21293,Brackish water,Private,19631000.0
South Africa,11177,1991,21063,Sea water,Public,8884000.0
South Africa,4154,2001,23914,Sea water,Public,10251000.0
